file,hhID,fileName,fullPath,fSize,fMTime,fMDate,dateColName,dateExample,dateFormat
rf_06/18Jun2017-19Jun2017at1.csv,rf_06,18Jun2017-19Jun2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Jun2017-19Jun2017at1.csv,2751,2017-06-19T16:03:03Z,2017-06-19,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/18Jun2018-19Jun2018at1.csv,rf_06,18Jun2018-19Jun2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Jun2018-19Jun2018at1.csv,157348,2018-06-19T16:03:04Z,2018-06-19,date UTC,2018-06-17,ymd - definite
rf_06/18Mar2017-19Mar2017at1.csv,rf_06,18Mar2017-19Mar2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Mar2017-19Mar2017at1.csv,2751,2017-03-19T15:03:06Z,2017-03-19,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/18Mar2018-19Mar2018at1.csv,rf_06,18Mar2018-19Mar2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Mar2018-19Mar2018at1.csv,155682,2018-03-19T15:03:04Z,2018-03-19,date UTC,2018-03-17,ymd - definite
rf_06/18May2017-19May2017at1.csv,rf_06,18May2017-19May2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18May2017-19May2017at1.csv,2751,2017-05-19T16:03:03Z,2017-05-19,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/18Nov2017-19Nov2017at1.csv,rf_06,18Nov2017-19Nov2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Nov2017-19Nov2017at1.csv,157535,2017-11-19T15:03:04Z,2017-11-19,date UTC,2017-11-17,ymd - definite
rf_06/18Oct2017-19Oct2017at1.csv,rf_06,18Oct2017-19Oct2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Oct2017-19Oct2017at1.csv,2751,2017-10-19T15:03:04Z,2017-10-19,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/18Sep2017-19Sep2017at1.csv,rf_06,18Sep2017-19Sep2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/18Sep2017-19Sep2017at1.csv,2751,2017-09-19T16:03:03Z,2017-09-19,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/19Apr2017-20Apr2017at1.csv,rf_06,19Apr2017-20Apr2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Apr2017-20Apr2017at1.csv,2751,2017-04-20T16:03:03Z,2017-04-20,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/19Apr2018-20Apr2018at1.csv,rf_06,19Apr2018-20Apr2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/19Apr2018-20Apr2018at1.csv,155596,2018-04-20T16:03:04Z,2018-04-20,date UTC,2018-04-18,ymd - definite
